filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
P21-Fg006-R-C01-R01-binarized.jpg,392639,"{}",11,0,"{""name"":""polyline"",""all_points_x"":[1557,1908,2096,2402,2388,2020,1602,1529],""all_points_y"":[626,636,660,674,507,494,521,549]}","{""1"":""""}"
P21-Fg006-R-C01-R01-binarized.jpg,392639,"{}",11,1,"{""name"":""polyline"",""all_points_x"":[1661,1846,2169,2492,2583,2579,2503,2298,2044,1950,1877,1783,1620,1606,1675],""all_points_y"":[667,643,702,674,709,803,820,824,786,786,765,786,768,671,667]}","{""1"":""""}"
P21-Fg006-R-C01-R01-binarized.jpg,392639,"{}",11,2,"{""name"":""polyline"",""all_points_x"":[1585,1811,1901,1971,2089,2270,2593,2610,2291,2162,2013,1766,1599,1588],""all_points_y"":[869,786,772,799,810,841,841,963,980,1015,1011,956,932,869]}","{""1"":""""}"
P21-Fg006-R-C01-R01-binarized.jpg,392639,"{}",11,3,"{""name"":""polyline"",""all_points_x"":[1456,1877,1971,2235,2506,2510,2315,1915,1526,1456],""all_points_y"":[1022,1008,1005,1008,1036,1151,1151,1112,1151,1029]}","{""1"":""""}"
P21-Fg006-R-C01-R01-binarized.jpg,392639,"{}",11,4,"{""name"":""polyline"",""all_points_x"":[1387,1446,1811,1971,2082,2263,2530,2461,2134,1682,1470,1387],""all_points_y"":[1210,1157,1161,1133,1157,1164,1154,1279,1293,1303,1303,1210]}","{""1"":""""}"
P21-Fg006-R-C01-R01-binarized.jpg,392639,"{}",11,5,"{""name"":""polyline"",""all_points_x"":[1773,1835,2364,2308,1974,1759,1783],""all_points_y"":[1345,1314,1317,1439,1411,1397,1349]}","{""1"":""""}"
P21-Fg006-R-C01-R01-binarized.jpg,392639,"{}",11,6,"{""name"":""polyline"",""all_points_x"":[1317,2179,2562,2541,2305,1585,1265,1310],""all_points_y"":[1436,1502,1484,1606,1599,1578,1509,1436]}","{""1"":""""}"
P21-Fg006-R-C01-R01-binarized.jpg,392639,"{}",11,7,"{""name"":""polyline"",""all_points_x"":[1328,1728,1776,2138,2332,2572,2454,2040,1665,1297,1335],""all_points_y"":[1668,1595,1585,1644,1599,1634,1752,1776,1752,1745,1668]}","{""1"":""""}"
P21-Fg006-R-C01-R01-binarized.jpg,392639,"{}",11,8,"{""name"":""polyline"",""all_points_x"":[1335,1418,1522,1728,2252,2527,2405,1714,1390,1338],""all_points_y"":[1801,1755,1766,1769,1783,1828,1943,1874,1874,1794]}","{""1"":""""}"
P21-Fg006-R-C01-R01-binarized.jpg,392639,"{}",11,9,"{""name"":""polyline"",""all_points_x"":[1477,1821,1787,1484,1484],""all_points_y"":[1978,1974,1877,1877,1974]}","{""1"":""""}"
P21-Fg006-R-C01-R01-binarized.jpg,392639,"{}",11,10,"{""name"":""polyline"",""all_points_x"":[1484,1832,1759,1526,1498],""all_points_y"":[2016,2020,2106,2106,2023]}","{""1"":""""}"
P22-Fg008-R-C01-R01-binarized.jpg,246520,"{}",9,0,"{""name"":""polyline"",""all_points_x"":[886,1267,1721,2112,2112,1773,1653,1444,1309,1267,1022,928,881],""all_points_y"":[626,547,542,584,761,782,782,761,746,766,766,740,636]}","{""1"":""""}"
P22-Fg008-R-C01-R01-binarized.jpg,246520,"{}",9,1,"{""name"":""polyline"",""all_points_x"":[907,996,1168,1262,1303,1382,1622,1872,2007,2101,2086,1986,1663,1257,923,918],""all_points_y"":[824,782,782,777,751,793,803,793,772,813,918,886,897,907,866,824]}","{""1"":""""}"
P22-Fg008-R-C01-R01-binarized.jpg,246520,"{}",9,2,"{""name"":""polyline"",""all_points_x"":[949,1038,1199,1376,1622,1809,1992,2070,2018,1705,1580,1512,1157,912,944],""all_points_y"":[959,902,938,912,912,912,876,949,1011,996,1048,1048,1064,985,970]}","{""1"":""""}"
P22-Fg008-R-C01-R01-binarized.jpg,246520,"{}",9,3,"{""name"":""polyline"",""all_points_x"":[1230,1517,1741,1778,1632,1559,1517,1382,1204,1236],""all_points_y"":[1064,1043,1074,1199,1199,1105,1142,1178,1111,1069]}","{""1"":""""}"
P22-Fg008-R-C01-R01-binarized.jpg,246520,"{}",9,4,"{""name"":""polyline"",""all_points_x"":[944,1038,1173,1264,1296,1369,1494,1533,1562,1585,1608,1637,1700,1827,1976,2237,2237,2156,1992,1757,1525,1100,957,946],""all_points_y"":[1223,1189,1176,1152,1160,1199,1184,1142,1126,1152,1197,1210,1212,1207,1189,1217,1311,1330,1335,1324,1335,1340,1317,1223]}","{""1"":""""}"
P22-Fg008-R-C01-R01-binarized.jpg,246520,"{}",9,5,"{""name"":""polyline"",""all_points_x"":[902,1040,1259,1476,1606,1723,2242,2401,2351,2007,1895,1791,1056,910],""all_points_y"":[1387,1353,1361,1343,1343,1340,1350,1353,1478,1473,1436,1457,1491,1416]}","{""1"":""""}"
P22-Fg008-R-C01-R01-binarized.jpg,246520,"{}",9,6,"{""name"":""polyline"",""all_points_x"":[970,980,1502,1893,1981,2393,2404,1966,1189,959,975],""all_points_y"":[1554,1538,1512,1455,1491,1517,1611,1585,1627,1632,1554]}","{""1"":""""}"
P22-Fg008-R-C01-R01-binarized.jpg,246520,"{}",9,7,"{""name"":""polyline"",""all_points_x"":[860,1043,1230,1324,1960,2310,2362,2284,1960,1835,1543,1330,1215,871,866],""all_points_y"":[1679,1632,1632,1632,1601,1622,1731,1736,1741,1783,1747,1715,1741,1736,1679]}","{""1"":""""}"
P22-Fg008-R-C01-R01-binarized.jpg,246520,"{}",9,8,"{""name"":""polyline"",""all_points_x"":[876,1262,1345,1439,1804,2023,2185,2205,1950,1590,881,881],""all_points_y"":[1814,1752,1721,1752,1799,1762,1752,1825,1966,2044,1861,1814]}","{""1"":""""}"
P106-Fg002-R-C01-R01-binarized.jpg,321771,"{}",13,0,"{""name"":""polyline"",""all_points_x"":[1509,1717,1780,1703,1512,1512],""all_points_y"":[751,751,709,640,664,733]}","{""1"":""""}"
P106-Fg002-R-C01-R01-binarized.jpg,321771,"{}",13,1,"{""name"":""polyline"",""all_points_x"":[1578,1668,2106,2190,2093,1641,1554,1571],""all_points_y"":[796,765,751,813,869,914,827,782]}","{""1"":""""}"
P106-Fg002-R-C01-R01-binarized.jpg,321771,"{}",13,2,"{""name"":""polyline"",""all_points_x"":[1338,2245,2228,1714,1345,1335],""all_points_y"":[1036,1015,1157,1147,1151,1043]}","{""1"":""""}"
P106-Fg002-R-C01-R01-binarized.jpg,321771,"{}",13,3,"{""name"":""polyline"",""all_points_x"":[1203,1668,1717,2020,2075,2666,2617,2534,1474,1453,1418,1324,1168],""all_points_y"":[1203,1164,1140,1168,1151,1189,1290,1300,1303,1269,1279,1286,1217]}","{""1"":""""}"
P106-Fg002-R-C01-R01-binarized.jpg,321771,"{}",13,4,"{""name"":""polyline"",""all_points_x"":[1109,1178,1370,1443,1453,1533,2663,2638,2371,2134,2006,1981,1109],""all_points_y"":[1352,1265,1321,1269,1279,1321,1324,1436,1404,1446,1401,1425,1432]}","{""1"":""""}"
P106-Fg002-R-C01-R01-binarized.jpg,321771,"{}",13,5,"{""name"":""polyline"",""all_points_x"":[1244,1324,1967,2013,2280,2353,2391,2614,2777,2892,2218,2093,2072,1919,1370,1210],""all_points_y"":[1495,1446,1439,1404,1460,1401,1397,1446,1370,1561,1609,1609,1637,1606,1613,1509]}","{""1"":""""}"
P106-Fg002-R-C01-R01-binarized.jpg,321771,"{}",13,6,"{""name"":""polyline"",""all_points_x"":[1248,1310,1425,1672,2026,2127,2923,2819,1328,1206],""all_points_y"":[1630,1588,1627,1627,1634,1616,1606,1724,1728,1627]}","{""1"":""""}"
P106-Fg002-R-C01-R01-binarized.jpg,321771,"{}",13,7,"{""name"":""polyline"",""all_points_x"":[1064,1230,1324,1863,2572,2958,2975,2878,1297,1084],""all_points_y"":[1755,1696,1745,1762,1752,1741,1832,1856,1884,1769]}","{""1"":""""}"
P106-Fg002-R-C01-R01-binarized.jpg,321771,"{}",13,8,"{""name"":""polyline"",""all_points_x"":[1103,1173,1468,3126,3071,2437,2351,1387,1207,1103],""all_points_y"":[1960,1877,1921,1898,2000,2031,2044,1986,2080,1971]}","{""1"":""""}"
P106-Fg002-R-C01-R01-binarized.jpg,321771,"{}",13,9,"{""name"":""polyline"",""all_points_x"":[1337,1567,1960,2359,2685,3084,3053,2424,1499,1358],""all_points_y"":[2065,2013,2065,2049,2026,2015,2114,2153,2151,2059]}","{""1"":""""}"
P106-Fg002-R-C01-R01-binarized.jpg,321771,"{}",13,10,"{""name"":""polyline"",""all_points_x"":[1559,1629,2484,3102,3100,2894,2683,2599,2143,1562],""all_points_y"":[2182,2148,2174,2153,2250,2242,2255,2278,2302,2229]}","{""1"":""""}"
P106-Fg002-R-C01-R01-binarized.jpg,321771,"{}",13,11,"{""name"":""polyline"",""all_points_x"":[2427,2667,2959,3152,3079,2495,2419],""all_points_y"":[2346,2258,2242,2344,2419,2461,2344]}","{""1"":""""}"
